sub_sent,class,domain,intent
빨리 좀 해주세요,DIGITAL_GREETINGwait,DIGITAL,GREETING
김연아 광고한 제품,DIGITAL_CATEaircon,DIGITAL,CATE
가장 최적가인지도 부탁드립니다,DIGITAL_PRICExs,DIGITAL,PRICE
$심숭$,DIGITAL_IMOTICON(근심),DIGITAL,IMOTICON
좀 여쭙겠습니다,DIGITAL_P상담요청,DIGITAL,P
사용 방법 뭔가요,DIGITAL_P도움말보기,DIGITAL,P
점심에도 상담,DIGITAL_P상담시간,DIGITAL,P
한번 알아봐주셨으면 좋겠습니다^^,DIGITAL_P상담요청,DIGITAL,P
오래 기다려야할까요,DIGITAL_GREETINGwait,DIGITAL,GREETING
리뷰 혜택,DIGITAL_P기타faq문의,DIGITAL,P
다른 문의는 안되나요,DIGITAL_P기타faq문의,DIGITAL,P
구입송금,DIGITAL_P환불문의,DIGITAL,P
짱나,DIGITAL_GREETINGclaim,DIGITAL,GREETING
물건이 오지 않아요,DIGITAL_P배송문의,DIGITAL,P
$피곤해$,DIGITAL_P채팅,DIGITAL,P
$바빠$,DIGITAL_GREETINGre-hello,DIGITAL,GREETING
가격이다름,DIGITAL_P가격문의,DIGITAL,P
환불않해주시나요,DIGITAL_P환불문의,DIGITAL,P
고마오,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
쳇봇만 찿으면 되네여,DIGITAL_GREETINGgood,DIGITAL,GREETING
쿠폰을 찾을 수가 없어,DIGITAL_P쿠폰요청,DIGITAL,P
싸게 살수있나해서요,DIGITAL_PRICEs_P할인문의,DIGITAL,PRICE
소개 좀 부탁해,DIGITAL_GREETINGintro,DIGITAL,GREETING
$칼$,"DIGITAL_CATEN죽,MART_CATE칼",DIGITAL,CATEN
계정 문의,DIGITAL_P회원정보문의,DIGITAL,P
$배$,"DIGITAL_CATEN배,MART_CATE배",DIGITAL,CATEN
사용 가능 쿠폰 모두 주세요,DIGITAL_P쿠폰요청,DIGITAL,P
무슨 기능이 있니,DIGITAL_P상담품목,DIGITAL,P
계좌,DIGITAL_FEAT계좌번호,DIGITAL,FEAT
설치날짜를 전부 통일,DIGITAL_P설치문의,DIGITAL,P
사진첩부해서 올리라는데,DIGITAL_P사진올리기기능안내,DIGITAL,P
$아직 없어$,DIGITAL_YESNOno,DIGITAL,YESNO
제품 업데이트 요일,DIGITAL_CATEN프로젝트엔_P기타faq문의,DIGITAL,CATEN
$헬프$,DIGITAL_P도움말보기,DIGITAL,P
마트쿠폰은 어떤,DIGITAL_P쿠폰문의_P기타faq문의,DIGITAL,P
//apple keyboard,DIGITAL_CATE애플_SUBCATapple액세서리_APPLEACC키보드,DIGITAL,CATE
(부끄),DIGITAL_IMOTICON(부끄),DIGITAL,IMOTICON
영상보기,DIGITAL_FEAT동영상/영화감상용,DIGITAL,FEAT
엉망이군,DIGITAL_GREETINGclaim,DIGITAL,GREETING
담에 뵐게요,DIGITAL_P대화종료,DIGITAL,P
없어도,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
엄청 좋네요,DIGITAL_GREETINGgood,DIGITAL,GREETING
$고럼$,DIGITAL_bypass,DIGITAL,bypass
$농협카드$,DIGITAL_P결제문의,DIGITAL,P
코딩용,DIGITAL_FEAT개발용,DIGITAL,FEAT
샤이니루체,DIGITAL_CATE냉장고_BRANDlg전자_PRODUCT샤이니루체,DIGITAL,CATE
대화 이어 하기,DIGITAL_P대화계속,DIGITAL,P
숲속바람,DIGITAL_FEAT숲속바람,DIGITAL,FEAT
가격이 싼,DIGITAL_PRICEs,DIGITAL,PRICE
AS 가능 한가요,DIGITAL_Pa/s문의,DIGITAL,P
왜 안받아져,DIGITAL_P쿠폰요청,DIGITAL,P
$너 정신좀 차려$,DIGITAL_slang,DIGITAL,slang
안내 받을 수,DIGITAL_P추천,DIGITAL,P
통화량이 많아서 힘들어요,DIGITAL_P전화요청,DIGITAL,P
설치 어려워서,DIGITAL_P설치문의,DIGITAL,P
아니예요,DIGITAL_YESNOno,DIGITAL,YESNO
니어메,DIGITAL_slang,DIGITAL,slang
$취소관련$,DIGITAL_P주문취소,DIGITAL,P
$너머해$,DIGITAL_P채팅,DIGITAL,P
lg 시그니쳐 올레드,DIGITAL_BRANDlg전자_PRODUCT시그니쳐올레드,DIGITAL,BRAND
장사할줄아는구먼,DIGITAL_GREETINGgood,DIGITAL,GREETING
최근본내역,DIGITAL_P찜기능안내,DIGITAL,P
이용 연장 할수있나요,DIGITAL_CATEN대여,DIGITAL,CATEN
넹넹,DIGITAL_YESNOyes,DIGITAL,YESNO
도움 됩니다. 감사합니다,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
대화는 안되는군,DIGITAL_P채팅,DIGITAL,P
s전자,DIGITAL_BRAND삼성전자,DIGITAL,BRAND
똑같은 종류인데 가격차이,DIGITAL_P가격차이,DIGITAL,P
그래픽 성능이 아주 좋은 것을 원해요,DIGITAL_FEAT그래픽작업용,DIGITAL,FEAT
어디다가문의하나요,DIGITAL_P기타faq문의,DIGITAL,P
언제 새상품들이 입고,DIGITAL_CATEN대여,DIGITAL,CATEN
$기타제품$,DIGITAL_P상담품목,DIGITAL,P
상품상세설명,DIGITAL_P상담원연결,DIGITAL,P
도움주셔서 감사합니다 좋은하루,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
고생 많으시네용,DIGITAL_GREETINGsugo,DIGITAL,GREETING
발송으로 되어잇길래,DIGITAL_P배송문의,DIGITAL,P
트롬,DIGITAL_CATE세탁기_BRANDlg전자_PRODUCT트롬,DIGITAL,CATE
사진이 전송이 안되,DIGITAL_P사진올리기기능안내,DIGITAL,P
살빼고싶어,DIGITAL_P채팅,DIGITAL,P
정전보상,DIGITAL_FEAT정전보상,DIGITAL,FEAT
스테인레스,DIGITAL_FEAT스텐,DIGITAL,FEAT
$칭찬해요$,DIGITAL_GREETINGgood,DIGITAL,GREETING
$저 그리고$,DIGITAL_bypass,DIGITAL,bypass
$즉당히 보내$,DIGITAL_P기타faq문의,DIGITAL,P
주인이 누구니,DIGITAL_P채팅,DIGITAL,P
차량용 청소기,DIGITAL_CATEN차량용청소기,DIGITAL,CATEN
내맘대로 플러스 팩,DIGITAL_P기타faq문의,DIGITAL,P
배송지연관련,DIGITAL_P배송문의,DIGITAL,P
$봇$,DIGITAL_P챗봇여부문의,DIGITAL,P
프라우드 냉장고,DIGITAL_CATE냉장고_BRAND대유위니아,DIGITAL,CATE
$본인확인$,DIGITAL_P본인인증문의,DIGITAL,P
상품이 파손되어 왔는데요,DIGITAL_P교환문의,DIGITAL,P
물건을못받았는데$ ,DIGITAL_P배송문의,DIGITAL,P
대여중인 옷,DIGITAL_CATEN대여,DIGITAL,CATEN
$구매문자$,DIGITAL_P기타faq문의,DIGITAL,P
$교환방법$,DIGITAL_P교환문의,DIGITAL,P
나랑 친구하자,DIGITAL_P채팅,DIGITAL,P
가격이 너무 비싸겠죠,DIGITAL_PRICEs,DIGITAL,PRICE
전화번호변경,DIGITAL_P회원정보문의,DIGITAL,P
적합하지 않다,DIGITAL_GREETINGclaim,DIGITAL,GREETING
보온밥솥,DIGITAL_CATE전기밥솥,DIGITAL,CATE
폰번호가 바뀌었는데,DIGITAL_P회원정보문의,DIGITAL,P
$너는 뭐에영$,DIGITAL_GREETINGintro,DIGITAL,GREETING
지정일 배송,DIGITAL_P배송일문의,DIGITAL,P
문의못드리는건가요,DIGITAL_P기타faq문의,DIGITAL,P
저 그리구요,DIGITAL_bypass,DIGITAL,bypass
압력전기밥통,DIGITAL_CATE전기밥솥,DIGITAL,CATE
챗봇이 머에여,DIGITAL_GREETINGchatbot,DIGITAL,GREETING
진짜빠르다,DIGITAL_GREETINGcheer,DIGITAL,GREETING
가격을 알려 달라고요,DIGITAL_P가격문의,DIGITAL,P
보상지연 대상이 되나요,DIGITAL_P기타faq문의,DIGITAL,P
저녁먹었어,DIGITAL_P채팅,DIGITAL,P
삼성,DIGITAL_BRAND삼성전자,DIGITAL,BRAND
차이 어떻게 되죠,DIGITAL_P차이점,DIGITAL,P
쿠폰 주실수 있나요,DIGITAL_P쿠폰요청,DIGITAL,P
$대한민국$,DIGITAL_BRAND국산,DIGITAL,BRAND
$안 좋아$,DIGITAL_YESNOno,DIGITAL,YESNO
내가호구냐,DIGITAL_GREETINGclaim,DIGITAL,GREETING
상품이 안와,DIGITAL_P배송문의,DIGITAL,P
사용 가이드 보여,DIGITAL_P도움말보기,DIGITAL,P
강의,DIGITAL_FEAT학습용,DIGITAL,FEAT
전력량표시,DIGITAL_FEAT전력량표시,DIGITAL,FEAT
$이메일$,DIGITAL_P기타faq문의,DIGITAL,P
배송지 등록하래요,DIGITAL_P기타faq문의,DIGITAL,P
$먄하군$,DIGITAL_GREETINGapologize,DIGITAL,GREETING
알리미서비스 해제방법,DIGITAL_P알림설정문의_P기타faq문의,DIGITAL,P
직영몰은 어떻게 확인,DIGITAL_P기타faq문의,DIGITAL,P
트리플회오리팬,DIGITAL_FEAT트리플회오리팬,DIGITAL,FEAT
선물이라,DIGITAL_FEAT선물용,DIGITAL,FEAT
lg 미니워시,DIGITAL_CATE세탁기_BRANDlg전자_PRODUCT미니워시,DIGITAL,CATE
//구매,DIGITAL_P추천,DIGITAL,P
$재입고$,DIGITAL_P기타faq문의,DIGITAL,P
통화가 불가능하죠,DIGITAL_P전화요청,DIGITAL,P
$지문$,DIGITAL_P기타faq문의,DIGITAL,P
결재 문제,DIGITAL_P결제문의,DIGITAL,P
이벤트 당첨에 대해 문의,DIGITAL_P기타faq문의,DIGITAL,P
가입할려고 하는데요,DIGITAL_P기타faq문의,DIGITAL,P
택배를 주문했는데,DIGITAL_P배송문의,DIGITAL,P
//사람 가지고 놉니까,DIGITAL_P챗봇여부문의,DIGITAL,P
취소를 신청했는데,DIGITAL_P주문취소,DIGITAL,P
$넘 어려워요$,DIGITAL_GREETINGgomin,DIGITAL,GREETING
미니 전기밥솥,DIGITAL_CATE전기밥솥_SIZEs,DIGITAL,CATE
사무용 그래픽,DIGITAL_FEAT사무/인강용or그래픽작업용,DIGITAL,FEAT
헛소리하네,DIGITAL_GREETINGclaim,DIGITAL,GREETING
고가 제품,DIGITAL_PRICEl,DIGITAL,PRICE
인사해라,DIGITAL_GREETINGre-hello,DIGITAL,GREETING
명의도용상담,DIGITAL_P회원정보문의,DIGITAL,P
다시찾을께,DIGITAL_P새상담,DIGITAL,P
원하는 브랜드 따로 없,DIGITAL_BRAND브랜드DC,DIGITAL,BRAND
너무 큰 사이즈 필요없,"DIGITAL_SIZEm,MART_ATTR중형",DIGITAL,SIZE
혼자 쓸,"DIGITAL_SIZEs,MART_ATTR소형",DIGITAL,SIZE
이모델 혹시 잇으세요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
사람이니,DIGITAL_P챗봇여부문의,DIGITAL,P
상담이 뭐 이래요,DIGITAL_GREETINGclaim,DIGITAL,GREETING
배송선택은 어디서하나요,DIGITAL_P결제문의,DIGITAL,P
바로 취소가 안되죠,DIGITAL_P결제문의,DIGITAL,P
내회원등급은,DIGITAL_P회원정보문의,DIGITAL,P
취소했는데 캐시로언제,DIGITAL_P환불문의,DIGITAL,P
a/s 되는거죠,DIGITAL_Pa/s문의,DIGITAL,P
뺄게요,DIGITAL_NEG아님,DIGITAL,NEG
$제가 산거$,DIGITAL_P주문이력확인,DIGITAL,P
상담 바로 연결 되나요,DIGITAL_P상담시간,DIGITAL,P
많이 본 상품,DIGITAL_RECOMpopular,DIGITAL,RECOM
폰바뀌서내용삭제되었네,DIGITAL_P기타faq문의,DIGITAL,P
십일절 쿠폰,DIGITAL_P쿠폰요청,DIGITAL,P
진드기 청소기,DIGITAL_CATE청소기_SUBCAT침구,DIGITAL,CATE
좀더 생각해볼게요,DIGITAL_P대화종료,DIGITAL,P
오입,DIGITAL_slang,DIGITAL,slang
챗봇인가요,DIGITAL_P챗봇여부문의,DIGITAL,P
$고가$,DIGITAL_PRICExl,DIGITAL,PRICE
탈퇴부탁해요,DIGITAL_P회원정보문의,DIGITAL,P
상담 잘 받았,DIGITAL_GREETINGthankyou,DIGITAL,GREETING
차이 큰가요,DIGITAL_P차이점,DIGITAL,P
내말피하지마!마트챗봇알잖아,"DIGITAL_P마트챗봇호출,MART_GREETINGcall",DIGITAL,P
얘기좀해요,DIGITAL_P채팅,DIGITAL,P
설치비까지인지 별도인지,DIGITAL_P설치비문의,DIGITAL,P
장바쿠니쿠폰 적용제한,DIGITAL_P쿠폰적용문의,DIGITAL,P
미니세탁ㅋ요,DIGITAL_CATE세탁기_SIZEs,DIGITAL,CATE
배그하려고,DIGITAL_FEAT게임용,DIGITAL,FEAT
너무 좋아용,DIGITAL_GREETINGgood,DIGITAL,GREETING
$그렇군요$,DIGITAL_YESNOok,DIGITAL,YESNO
마트보다싸군,DIGITAL_GREETINGgood,DIGITAL,GREETING
몇kg을 사야 가능한가요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
수고하시기 바랍니다,DIGITAL_GREETINGsugo,DIGITAL,GREETING
$영화볼래$,DIGITAL_P채팅,DIGITAL,P
$아프냐$,DIGITAL_P채팅,DIGITAL,P
$비번$,DIGITAL_P기타faq문의,DIGITAL,P
어로스,DIGITAL_CATE노트북_BRAND어로스,DIGITAL,CATE
$말잘하네$,DIGITAL_GREETINGgood,DIGITAL,GREETING
아이패드 에어2,DIGITAL_CATE애플_SUBCATipad_IPADPRODUCTipadair2,DIGITAL,CATE
그냥구경와,DIGITAL_bypass,DIGITAL,bypass
11번가에 가입할 수 있나,DIGITAL_P기타faq문의,DIGITAL,P
로봇 상담이에요 아님 사람,DIGITAL_P챗봇여부문의,DIGITAL,P
기타 브랜드,DIGITAL_BRAND기타,DIGITAL,BRAND
$야야$,DIGITAL_GREETINGcall,DIGITAL,GREETING
사람 연결해주세요,DIGITAL_P상담원연결,DIGITAL,P
$귀챦아$,DIGITAL_GREETINGclaim,DIGITAL,GREETING
통화가 너무 힘듭니다,DIGITAL_GREETINGclaim,DIGITAL,GREETING
영수증을 받고 싶어요,DIGITAL_P결제문의,DIGITAL,P
챗봇이 뭐예요,DIGITAL_GREETINGchatbot,DIGITAL,GREETING
톡매니저가 누구,DIGITAL_P톡매니저,DIGITAL,P
//제습기,DIGITAL_FEAT제습기,DIGITAL,FEAT
상품산거요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
정보변경 어케,DIGITAL_P회원정보문의,DIGITAL,P
옷은 안 되는구나,DIGITAL_CATEN옷,DIGITAL,CATEN
$소개를 해줘$,DIGITAL_GREETINGintro,DIGITAL,GREETING
너 참귀엽구나,DIGITAL_GREETINGgood,DIGITAL,GREETING
마트사용,DIGITAL_CATEN마트,DIGITAL,CATEN
잘 팔리는 건가요,DIGITAL_RECOMpopular,DIGITAL,RECOM
해지 가능할까,DIGITAL_CATEN대여_P기타faq문의,DIGITAL,CATEN
고객변경하고싶은데요,DIGITAL_P기타faq문의,DIGITAL,P
람대쉬면도기,DIGITAL_CATE면도기_PRODUCT람대쉬_BRAND파나소닉,DIGITAL,CATE
내가 좋아할만한,DIGITAL_P추천,DIGITAL,P
$흠$,DIGITAL_GREETINGgomin,DIGITAL,GREETING
운영체제 설치,DIGITAL_FEAT운영체제포함,DIGITAL,FEAT
상놈을,DIGITAL_slang,DIGITAL,slang
탈취기능,DIGITAL_FEAT탈취기능,DIGITAL,FEAT
환불 금액 언제 받을수있나요,DIGITAL_P환불문의,DIGITAL,P
$아왜$,DIGITAL_bypass,DIGITAL,bypass
보통 크기면 좋,"DIGITAL_SIZEm,MART_ATTR중형",DIGITAL,SIZE
회사원 노트북,DIGITAL_CATE노트북_FEAT사무/인강용,DIGITAL,CATE
$혹시 쿠폰이$,DIGITAL_P쿠폰요청,DIGITAL,P
탈퇴 어떻게 해요,DIGITAL_P회원정보문의,DIGITAL,P
환불받은 금액은 어디서 확인,DIGITAL_P환불문의,DIGITAL,P
1대1일 상담,DIGITAL_P상담원연결,DIGITAL,P
반품할 수 있는 제품은 무엇,DIGITAL_P상담원연결,DIGITAL,P
대화내용삭제,DIGITAL_P기타faq문의,DIGITAL,P
카테고리 다시 보여주세요,DIGITAL_P처음으로,DIGITAL,P
오늘도사랑해,DIGITAL_GREETINGgood,DIGITAL,GREETING
천장에 설치 에어컨,DIGITAL_CATEN시스템에어컨,DIGITAL,CATEN
놀구있네,DIGITAL_slang,DIGITAL,slang
뭐가 맛있을거 같아,DIGITAL_P채팅,DIGITAL,P
아이들용,DIGITAL_FEAT아동용,DIGITAL,FEAT
가전제품 말고,DIGITAL_P상담품목,DIGITAL,P
자동차 청소기,DIGITAL_CATEN자동차청소기,DIGITAL,CATEN
색상 말,DIGITAL_NEG아님,DIGITAL,NEG
캐시 통장입금 진행요청했는,DIGITAL_P기타faq문의,DIGITAL,P
//괜찮을까요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
10쌔기,DIGITAL_slang,DIGITAL,slang
Hello,DIGITAL_GREETINGre-hello,DIGITAL,GREETING
오디세이 노트북,DIGITAL_CATE노트북_BRAND삼성전자_PRODUCT오디세이,DIGITAL,CATE
정해둔거 따로 없어요,DIGITAL_DONTCAREdontcare,DIGITAL,DONTCARE
$퉤$,DIGITAL_bypass,DIGITAL,bypass
$크아악$,DIGITAL_GREETINGclaim,DIGITAL,GREETING
쿠폰 좀 더 보내주세요,DIGITAL_P쿠폰요청,DIGITAL,P
쿠폰의 종류는 어떤 것,DIGITAL_P쿠폰문의_P기타faq문의,DIGITAL,P
문의드리러 왔는데,DIGITAL_P상담요청,DIGITAL,P
브랜드 상관없,DIGITAL_BRAND브랜드DC,DIGITAL,BRAND
다른 카테고리,DIGITAL_P새상담,DIGITAL,P
왜 안해주,DIGITAL_GREETINGclaim,DIGITAL,GREETING
쿠폰 인증 번호 받는법,DIGITAL_P쿠폰인증번호문의,DIGITAL,P
$할수있는거$,DIGITAL_P상담폼목,DIGITAL,P
카드 할인 상담,DIGITAL_P할인문의,DIGITAL,P
물품이 안와서,DIGITAL_P배송문의,DIGITAL,P
아니면 좋습니다,DIGITAL_NEG아님,DIGITAL,NEG
잠깐 기다려,DIGITAL_bypass,DIGITAL,bypass
