clean_text,class
추가 할인받는방법 있을까요,DIGITAL_P쿠폰요청
디지털말고 다른 상품,DIGITAL_P상담품목
문의 드린겁니다,DIGITAL_P상담요청
언제 퇴근해,DIGITAL_P채팅
쿠키 항상 허용,DIGITAL_P기타faq문의
챗봇 뭐래 뭘좋아해,DIGITAL_P채팅
11페이 계좌 삭제,DIGITAL_P결제문의
점심에도 상담,DIGITAL_P상담시간
찜 기능 뭐야,DIGITAL_P찜기능안내
ok캐쉬백 재인증,DIGITAL_P기타faq문의
구매할려할때,DIGITAL_P구매예정
암튼 see you,DIGITAL_P대화종료
염두에 두고 계신 가격대가,DIGITAL_P가격문의
선별했는데 사라졌음,DIGITAL_P찜기능안내
문화상품권으로 결제할려고,DIGITAL_P결제문의
리뷰 적립금,DIGITAL_P적립문의
랜탈 문의,DIGITAL_P렌탈문의
모델별 특징은,DIGITAL_P상품문의_P상담원연결
원하는데요,DIGITAL_P추천
구매했는데 취소가능,DIGITAL_P주문취소
선물이자꾸취소되요,DIGITAL_P기타faq문의
뭐가있는거죠 그럼,MART_P마트챗봇문의
어떻게 하냐고,DIGITAL_P기타faq문의
다른 모델,DIGITAL_P추가추천
할 수 있는 상담이 뭐야,MART_P마트챗봇문의
할인은 또 언제 받,DIGITAL_P할인문의
수취 거부부탁하고,DIGITAL_P배송문의
대화가 종료 되나요,DIGITAL_P상담원연결
쿠폰 어떻게 쓰나,DIGITAL_P쿠폰적용문의
톡매니저 연락,DIGITAL_P상담원연결
대화 삭제,DIGITAL_P기타faq문의
너무 비싸지 않았음 합니다,MART_P행사상품
패션데이가 뭐야,DIGITAL_P행사문의
배송시간 지정,DIGITAL_P배송문의
용량 큰 건가,DIGITAL_P용량문의
입고 시켜,DIGITAL_P기타faq문의
착불로 판매자에게,DIGITAL_P환불문의
상품이 오지를안네요,DIGITAL_P배송문의
주문한 상품 찾아줘,DIGITAL_P주문이력확인
가전관련된것만 상담,DIGITAL_P상담품목
최신형인가요,DIGITAL_P상품문의
다른건 없나요,DIGITAL_P추가추천
아이디가 이중,DIGITAL_P기타faq문의
취소 하고픈데요,DIGITAL_P주문취소
헌데 취소하려고요,DIGITAL_P주문취소
또 사려고,MART_P지난구매상품보기
자주사용하는 물건,MART_P자주구매상품
카드정보입력,DIGITAL_P결제문의
사람이신가요,DIGITAL_P챗봇여부문의
한개가 반납이 안되었다고,DIGITAL_P반품문의
쿠폰번호 알려줘,DIGITAL_P쿠폰요청
입금이 안됐어요,DIGITAL_P환불문의
보상지연받으라는데,DIGITAL_P기타faq문의
11번가도 문의되나요,DIGITAL_P기타faq문의
차이가 뭐야,DIGITAL_P차이점
쿠폰 무제한 쓸수,DIGITAL_P쿠폰적용문의
생채인식 위치어디,DIGITAL_P기타faq문의
나중에 찾을래,DIGITAL_P대화종료
딴상품 찾을래,DIGITAL_P새상담
추천사유문의,DIGITAL_P추천사유문의
어제 연락주신다더니,DIGITAL_P전화요청
보상절차를 알려주세요,DIGITAL_P기타faq문의
깎아주세요,DIGITAL_P바로할인가
판매자 등록을,DIGITAL_P기타faq문의
교환 문의톡,DIGITAL_P교환문의
쿠폰이 잇는지,DIGITAL_P쿠폰요청
사용어떡해하죠,DIGITAL_P기타faq문의
발송처리 했습니다,DIGITAL_P반품문의
이벤트 머있니,MART_P이벤트
취소한거 확인요청,DIGITAL_P주문취소
데이터 안닳고 쇼핑,DIGITAL_P기타faq문의
자주 이용할께요,DIGITAL_P대화종료
할부가 가능한가요,DIGITAL_P결제문의
세일 품목,MART_P행사상품문의
쿠폰 좀 다시 발송 부탁,DIGITAL_P쿠폰요청
담당자불러와,DIGITAL_P상담사연결
상담 지금 되나요,DIGITAL_P상담시간
뭘 사야할지 몰라서요,DIGITAL_P추천
세일 많이 된 상품으로,MART_P행사상품
아직 안왔어요,DIGITAL_P배송문의
상품 문의 가능,DIGITAL_P상담요청
합배송란되죠,DIGITAL_P배송문의
1 1 상담,DIGITAL_P상담원연결
아직도착을 안하는겁니까,DIGITAL_P배송문의
나도 반사,DIGITAL_P채팅
문자 재발송 부탁,DIGITAL_P기타faq문의
내일안와요,DIGITAL_P배송일문의
카드 할인이 있나요,DIGITAL_P결제문의
취소하면 쿠폰도 돌아오나여,DIGITAL_P쿠폰적용문의
나 이제 갈게,DIGITAL_P대화종료
선물준다면서,DIGITAL_P행사문의
포인트차감된거확인,DIGITAL_P결제문의
사람들이 자주 쓰는,DIGITAL_P챗봇여부문의
핫딜 상품은 뭔가,MART_P행사상품문의
차이인가요,DIGITAL_P차이점
취소할게요,DIGITAL_P주문취소
주소지수정,DIGITAL_P배송지변경문의
계정 문의,DIGITAL_P회원정보문의
배송받을 수 있을까요,DIGITAL_P배송문의
본인확인회원전환,DIGITAL_P본인인증문의
티멤버쉽이 안돼요,DIGITAL_P티멤버십관련문의_P기타faq문의
배송 언제,DIGITAL_P배송일문의
이벤트 제품 추천,DIGITAL_P할인행사
아이뒤가 이상,DIGITAL_P회원정보문의
가격이 틀리던데요,DIGITAL_P가격문의
이거어떻게하는건가요,DIGITAL_P도움말보기
쿠폰사용 안되나요,DIGITAL_P쿠폰적용문의
반품을 하려하는데,DIGITAL_P반품문의
잘못 결제했어요,DIGITAL_P결제문의
구매 이력,DIGITAL_P기타faq문의
사기당했어요,DIGITAL_P기타faq문의
장바구니어떠케,DIGITAL_P찜기능안내
이거 말고 없어,DIGITAL_P추가추천
이 톡은 왜,DIGITAL_P채팅
상품을 더 보여주세요,DIGITAL_P추가추천
물건 교환해야하는데,DIGITAL_P교환문의
방금주신 저쿠폰,DIGITAL_P쿠폰적용문의
배송료 얼마,DIGITAL_P배송비문의
환불 관련해서 물어볼거,DIGITAL_P환불문의
웰컴 혜택,DIGITAL_P행사문의
새 카테고리,DIGITAL_P새상담
도착 안하면 취소,DIGITAL_P배송일문의
상담 언제 가능해요,DIGITAL_P상담시간
상담사좀부탁해,DIGITAL_P상담원연결
사은품 받게해,DIGITAL_P채팅
넌 사람이 될 수 없어,DIGITAL_P채팅
웰컴딜사용이안되요,DIGITAL_P쿠폰적용문의
주문한 대로 오지않았습니다,DIGITAL_P배송문의
상품 구매하려면 얼마,DIGITAL_P가격문의
발급받은 쿠폰이 보이지,DIGITAL_P쿠폰요청
상품이 잘못왔는데요,DIGITAL_P배송문의
입금확인부탁,DIGITAL_P결제문의
쿠폰 있는 거 같,DIGITAL_P쿠폰요청
구입했었는데 다시 보여,MART_P지난구매상품보기
다른거 없어요,DIGITAL_P추가추천
캐쉬백 왜 안들어 오나요,DIGITAL_P적립문의
다른제품요,DIGITAL_P추가추천
오늘은안와요,DIGITAL_P배송일문의
인격을 가지구 있,DIGITAL_P채팅
뭐 할수있어요,DIGITAL_P채팅
아쉽지만 담에찾을께요,DIGITAL_P대화종료
장바구니 기능,DIGITAL_P찜기능안내
취소를 신청했는데,DIGITAL_P주문취소
환불 될 때,DIGITAL_P환불문의
게시판이 어디,DIGITAL_P기타faq문의
추천 요망,DIGITAL_P추천
마일리지 적립이 안,DIGITAL_P적립문의
개발자가 누구니,DIGITAL_P채팅
택배가 안오는데,DIGITAL_P배송문의
할부 선택을 안했는데요,DIGITAL_P결제문의
상담원 바꿔주세요,DIGITAL_P상담원연결
안녕하세용 지금도되나요,DIGITAL_P상담시간
결제금액이 돌아오나요,DIGITAL_P환불문의
이상품은 어떤가요,DIGITAL_P상품문의_P상담원연결
니가 알아서 찾아,DIGITAL_P추천
수취확인 취소,DIGITAL_P기타faq문의
비교해서 구매할려구요,DIGITAL_P구매예정
페이백 받을수,DIGITAL_P적립문의
문화상품권으로 구매하려면,DIGITAL_P결제문의
대화 멈춰,DIGITAL_P대화종료
할부진행 할수 있나요,DIGITAL_P결제문의
넌 뭘 팔아,DIGITAL_P상담품목
마트챗봇 소개,MART_P마트챗봇문의
주문하면 증정품도 같이,MART_P사은품문의
사용 방법이 뭐야,DIGITAL_P도움말보기
디음에 다시요,DIGITAL_P대화종료
왜안들어와요,DIGITAL_P환불문의
제품만 찾나요,DIGITAL_P상담품목
멤버십 포인트 사용,DIGITAL_P결제문의
캐쉬 출금했는데 왜 입금,DIGITAL_P기타faq문의
쿠폰 같은 건 없나,DIGITAL_P쿠폰요청
인증되지않았다고,DIGITAL_P본인인증문의
as는 어떤가요,DIGITAL_Pa/s문의
최근 주문한거 보여줘,DIGITAL_P주문이력확인
공인인증 방법,DIGITAL_P본인인증문의
추천 부탁드리,DIGITAL_P추천
신용카드 등록,DIGITAL_P결제문의
새로 시작하기,DIGITAL_P새상담
한번에찾기,MART_P다중검색문의
오류 아니니,DIGITAL_P기타faq문의
차이 뭔가요,DIGITAL_P차이점
할인받아서 구매하였다가,DIGITAL_P구매완료
결제 취소한 건이 있는데,DIGITAL_P결제문의
차이 좀 봐주세요,DIGITAL_P차이점
다음에참고할게요,DIGITAL_P대화종료
뭐가 좋나요,DIGITAL_P추천
제품을못받았는데,DIGITAL_P배송문의
ok캐시백 미등록,DIGITAL_P기타faq문의
리뷰 평점은 좋나요,DIGITAL_P리뷰평점문의
넌 여자니,DIGITAL_P채팅
고객센터 번호는 어떻게,DIGITAL_P고객센터문의
Help me cancel,DIGITAL_P주문취소
주문한 상품은 언제 배송,DIGITAL_P배송일문의
당일 택배가능,DIGITAL_P배송일문의
위조품 확인,DIGITAL_P기타faq문의
이미지 첨부 드립니다,DIGITAL_P기타faq문의
소액결제 취소 신청,DIGITAL_P결제문의
담번에또물어볼께요,DIGITAL_P대화종료
담에 이용할께요,DIGITAL_P대화종료
뭐가 되는데,DIGITAL_P상담품목
궁긍한게 있어요,DIGITAL_P상담요청
전에 구매한것,MART_P지난구매상품보기
상담 뭐뭐 돼요,DIGITAL_P상담품목
제품말구 상담요,DIGITAL_P상담품목
반값이벤트,MART_P행사상품문의
쿠폰 적용 문의,DIGITAL_P쿠폰적용문의
그러면 어떻하죠,DIGITAL_P기타faq문의
쓰던 물건 가져가,DIGITAL_P폐가전수거
고객센타 연락처,DIGITAL_P고객센터문의
거래거절카드,DIGITAL_P결제문의
다른 브랜드 추천해,DIGITAL_P추가추천
리뷰 어때요,DIGITAL_P리뷰평점문의
찾기 기능 고장,DIGITAL_P기타faq문의
링크주세요,DIGITAL_P링크요청
주민등록번호,DIGITAL_P기타faq문의
아이디가두개라,DIGITAL_P회원정보문의
쿠폰적용되나요,DIGITAL_P쿠폰적용문의
카드 무이자,DIGITAL_P결제문의
취소와 환불,DIGITAL_P환불문의
환불하고 싶어요,DIGITAL_P환불문의
결재하는 금액 얼마,DIGITAL_P가격문의
문상 사용,DIGITAL_P기타faq문의
장바구니 버튼이 없어요,MART_P장바구니담기
고객님만을 위한 혜택,DIGITAL_P행사문의
품절된건 언제쯤 들어오,MART_P재입고문의
데이터 사용양,DIGITAL_P기타faq문의
주문하면 낼 올까요,DIGITAL_P배송문의
상품 언제쯤 받을,DIGITAL_P배송문의
배송 조회하고싶은데,DIGITAL_P배송문의
톡매니저 이디있나요,DIGITAL_P상담원연결
챗봇 기반 서비스라고 해서,DIGITAL_P챗봇여부문의
너무 작나요,DIGITAL_P사이즈문의
전번 변경,DIGITAL_P회원정보문의
할인쿠폰이왜안써지죠,DIGITAL_P쿠폰적용문의
구매하기 금액이달라요,DIGITAL_P상담원연결
아이디를 어디서 찾나,DIGITAL_P회원정보문의
귀찮네 그만,DIGITAL_P대화종료
문의좀 할게요,DIGITAL_P상담요청
물건을 판매,DIGITAL_P기타faq문의
다른 상담하기,DIGITAL_P새상담
녹지않게 포장,MART_P아이스팩문의
이용방법 알려,DIGITAL_P도움말보기
다음에 만나요,DIGITAL_P대화종료
너는 사람이니 컴퓨터니,DIGITAL_P챗봇여부문의
쿠폰 주실수 있나요,DIGITAL_P쿠폰요청
배송되는지,DIGITAL_P배송일문의
물건이너무없네요,DIGITAL_P상담품목
장바구니 버튼생성이 안되요,DIGITAL_P기타faq문의
샀던거좀 보여주,MART_P지난구매상품보기
멤버싶 등록,DIGITAL_P기타faq문의
전화를 받지 않아서,DIGITAL_P전화요청
고객센터 번호 알려주세요,DIGITAL_P기타faq문의
가격 어떠,DIGITAL_P가격문의
맴버쉬확인불가라고떠요,DIGITAL_P기타faq문의
구입했던 목록,DIGITAL_P주문이력확인
판매자연락안될때,DIGITAL_P판매자연락요청
사람 나와,DIGITAL_P상담원연결
머하나 물어봅시다,DIGITAL_P상담요청
비번을 변경할려고,DIGITAL_P기타faq문의
vvip등급,DIGITAL_P기타faq문의
무이자 할부로 구매,DIGITAL_P결제문의
선물좀주세요,DIGITAL_P채팅
백화점몰쿠폰,DIGITAL_P쿠폰요청
상담원 접속,DIGITAL_P상담원연결
회원으로 가입할 수 있나요,DIGITAL_P회원정보문의
설치비 포함된 가격인가요,DIGITAL_P설치비문의
등급 상향 조정하려면,DIGITAL_P기타faq문의
목요일에 받을수 있나,DIGITAL_P배송문의
바로 취소가 안되죠,DIGITAL_P결제문의
나이가 어떻게,DIGITAL_P채팅
용량 높은가,DIGITAL_P용량문의
주문한게 문제가 있어서요,DIGITAL_P반품문의
현금영수증 재발행,DIGITAL_P현금영수증문의
선물함은 어디에 있나요,DIGITAL_P기타faq문의
쿠포 발급 가능,DIGITAL_P쿠폰요청
쿠폰사용이 안됩,DIGITAL_P쿠폰적용문의
기프트콘이 어디에 있는지,DIGITAL_P기타faq문의
상품쿠폰 사용,DIGITAL_P쿠폰적용문의
대화 stop,DIGITAL_P대화종료
장볼일있을때 이용할,MART_P대화종료
새벽에 통화,DIGITAL_P상담시간
더 깎아줘요,DIGITAL_P바로할인가
사업자 지출증빙,DIGITAL_P기타faq문의
어떤 모델이 좋을까요,DIGITAL_P상품문의_P상담원연결
뭘 파시나요,DIGITAL_P상담품목
새로운 카테고리,DIGITAL_P새상담
상품상세설명,DIGITAL_P상담원연결
장바구니 버튼이 없어요,DIGITAL_P찜기능안내
다음에 물어볼게요,DIGITAL_P대화종료
너랑 대화가 가능하니,DIGITAL_P채팅
상담사가 조정하는거야,DIGITAL_P챗봇여부문의
하나 구입하겠어요,DIGITAL_P구매예정
어떤걸 사야되는건지,DIGITAL_P추천
as사항이 어떻게 되나요,DIGITAL_Pa/s문의
출고 됐나요,DIGITAL_P배송문의
이벤트 당첨번호,DIGITAL_P행사문의
11pay 생체인식,DIGITAL_P결제문의
정품 인가요,MART_P정품문의
쿠폰 하나만 쏴주,DIGITAL_P쿠폰요청
최근 주문 상품,MART_P지난구매상품보기
결제 안되서,DIGITAL_P결제문의
오늘 주문하면 언제 와요,DIGITAL_P배송일문의
문화상품권 어디서써,DIGITAL_P결제문의
쿠폰 적용 카테고리,DIGITAL_P쿠폰적용문의
세금계산서 발급,DIGITAL_P기타faq문의
마트배송지설정,DIGITAL_P배송지변경문의
사람이 치는건가요,DIGITAL_P챗봇여부문의
저번에 산쌀,MART_P지난구매상품보기_CATE쌀
