sub_sent,class,domain,intent
입금방법,DIGITAL_P결제문의,DIGITAL,P
새로 검색,DIGITAL_P추천,DIGITAL,P
$내놔$,DIGITAL_P채팅,DIGITAL,P
$휴 어지러워요$,DIGITAL_P채팅,DIGITAL,P
프로모션 관련 문의,MART_P이벤트 ,MART,P
혜택좋은 아이템,MART_P행사상품문의,MART,P
체크카드로도 가능한가요,DIGITAL_P결제문의,DIGITAL,P
쿠폰 저게 최대치인가요,DIGITAL_P쿠폰요청,DIGITAL,P
할인 쿠폰 안 보입니다,DIGITAL_P쿠폰요청,DIGITAL,P
두툼 포인트 사용,DIGITAL_P기타faq문의,DIGITAL,P
성명바꾸기,DIGITAL_P회원정보문의,DIGITAL,P
판매자가 취소 거부,DIGITAL_P기타faq문의,DIGITAL,P
$싸우자$,DIGITAL_P채팅,DIGITAL,P
못찻겟어요,DIGITAL_P추천,DIGITAL,P
정말 날 기다렸니,DIGITAL_P채팅,DIGITAL,P
반품도되나요,DIGITAL_P반품문의,DIGITAL,P
신선식품 종류가 많아요,MART_P신선식품문의,MART,P
재발급가능 한가요,DIGITAL_P기타faq문의,DIGITAL,P
제품 차이가 있다던데,DIGITAL_P차이점,DIGITAL,P
$내주문상태$,DIGITAL_P주문이력확인,DIGITAL,P
$사용 방법 알려주세요$,DIGITAL_P도움말보기,DIGITAL,P
할인쿠폰어떻게쓰냐,DIGITAL_P쿠폰적용문의,DIGITAL,P
할인쿠폰 미적용,DIGITAL_P쿠폰적용문의,DIGITAL,P
어플종료,DIGITAL_P대화종료,DIGITAL,P
구입송금,DIGITAL_P환불문의,DIGITAL,P
나중에 통화해볼께요,DIGITAL_P대화종료,DIGITAL,P
주문취소했는데 입금이안되네요,DIGITAL_P환불문의,DIGITAL,P
리뷰 좀 보여,DIGITAL_P리뷰요청,DIGITAL,P
이런 상담은 어떻게,DIGITAL_P상담요청,DIGITAL,P
상담사 확인해줘,DIGITAL_P상담사연결,DIGITAL,P
캐쉬 사용법,DIGITAL_P기타faq문의,DIGITAL,P
$키는$,DIGITAL_P채팅,DIGITAL,P
상담 받으려고 하는,DIGITAL_P상담요청,DIGITAL,P
$백버튼$,DIGITAL_P이전메뉴이동,DIGITAL,P
배송중인 상품의 위치,MART_P배송문의,MART,P
에너지소비등급문의,DIGITAL_P에너지소비등급문의,DIGITAL,P
배송이 된지 궁금,DIGITAL_P배송문의,DIGITAL,P
돈이 안들어오네요,DIGITAL_P환불문의,DIGITAL,P
11폐이,DIGITAL_P결제문의,DIGITAL,P
널사겠어,DIGITAL_P채팅,DIGITAL,P
상품을 실제로 볼 수 있을까요,DIGITAL_P실물확인,DIGITAL,P
$제가 산거$,DIGITAL_P주문이력확인,DIGITAL,P
녹지않게 얼음팩주세요,MART_P아이스팩문의,MART,P
고객센터에서 전화가 왔습니다,DIGITAL_P고객센터문의,DIGITAL,P
입급확인 부탁,DIGITAL_P기타faq문의,DIGITAL,P
경비실 보관으로  부탁드립,DIGITAL_P배송문의,DIGITAL,P
설치비 안내,DIGITAL_P설치비문의,DIGITAL,P
쿠폰 어디서받,DIGITAL_P쿠폰요청,DIGITAL,P
배송은 어떻게 되는건가요,DIGITAL_P배송문의,DIGITAL,P
링크좀 쏴주심,DIGITAL_P링크요청,DIGITAL,P
이중에 없어,DIGITAL_P추가추천,DIGITAL,P
제휴쿠폰을 쓸 수 있는 상품,DIGITAL_P기타faq문의,DIGITAL,P
택배로 착불로,DIGITAL_P환불문의,DIGITAL,P
해고나 먹어라,DIGITAL_P채팅,DIGITAL,P
환불이 되지안아 문의,DIGITAL_P환불문의,DIGITAL,P
선물함이란 무엇인가요,DIGITAL_P기타faq문의,DIGITAL,P
보관 부탁하려구요,DIGITAL_P배송문의,DIGITAL,P
알리미서비스 해제,DIGITAL_P알림설정문의_P기타faq문의,DIGITAL,P
차이가 많이나나요,DIGITAL_P차이점,DIGITAL,P
검색해서 알려주세요,DIGITAL_P대화종료,DIGITAL,P
설명을 해달라고,"FAQ_P도움말요청,DIGITAL_P설명요청",FAQ,P
주문한지 며칠이나지났는데 확인,DIGITAL_P배송문의,DIGITAL,P
환불받고 싶어요,DIGITAL_P환불문의,DIGITAL,P
내맘대로 PLUS 쿠폰팩,DIGITAL_P쿠폰요청,DIGITAL,P
오늘은 무슨 요일,DIGITAL_P채팅,DIGITAL,P
처음으로 이동,DIGITAL_P처음으로,DIGITAL,P
그냥 켜봤어,DIGITAL_P채팅,DIGITAL,P
쿠폰인증번호 어디서 받나요,DIGITAL_P쿠폰인증번호문의,DIGITAL,P
프로그램인가요 사람인가요,DIGITAL_P챗봇여부문의,DIGITAL,P
나의 주문관리,MART_P지난구매상품보기,MART,P
싸이즈가 너무 커,DIGITAL_P기타faq문의,DIGITAL,P
$여기 없네요$,DIGITAL_P상담품목,DIGITAL,P
가지가지 한다,DIGITAL_P채팅,DIGITAL,P
$잠안와$,DIGITAL_P채팅,DIGITAL,P
주문을 취소했는데,DIGITAL_P주문취소,DIGITAL,P
마트챗봇 상담하기,MART_P상담요청,MART,P
싸게 사고 싶어요,MART_P행사상품,MART,P
친해지고,DIGITAL_P채팅,DIGITAL,P
견적 내고 싶은데,DIGITAL_P가격문의,DIGITAL,P
찜했던거,DIGITAL_P찜한상품,DIGITAL,P
$처음 단계$,DIGITAL_P처음으로,DIGITAL,P
취소부탁드릴께요,DIGITAL_P주문취소,DIGITAL,P
연락주세요,DIGITAL_P전화요청,DIGITAL,P
아니 뭐파냐고,MART_P마트챗봇문의,MART,P
카드 포인트 연계할부,DIGITAL_P결제문의,DIGITAL,P
주문 주소 잘못,DIGITAL_P배송지변경문의,DIGITAL,P
$가격정보$,DIGITAL_P가격문의,DIGITAL,P
//궁금합,DIGITAL_P추천,DIGITAL,P
바이바이,DIGITAL_P대화종료,DIGITAL,P
적용할수있는 쿠폰은 없나요,DIGITAL_P쿠폰요청,DIGITAL,P
어떻게 해야 싸게 살 수 있어요,MART_P할인문의_ATTR저가,MART,P
$할수있는게뭐니$,DIGITAL_P상담품목,DIGITAL,P
쿠폰 적용 금액,DIGITAL_P쿠폰적용문의,DIGITAL,P
그때 주문한거 다시 살려,MART_P지난구매상품보기,MART,P
대화내용삭제,DIGITAL_P기타faq문의,DIGITAL,P
주문한게 조회가 안돼,DIGITAL_P주문이력확인,DIGITAL,P
뭐가 맛있을거 같아,DIGITAL_P채팅,DIGITAL,P
취소된 금액,DIGITAL_P주문취소,DIGITAL,P
배송관련 상담,DIGITAL_P배송문의,DIGITAL,P
전화오나요,DIGITAL_P전화요청,DIGITAL,P
$점심식사$,MART_P추천,MART,P
$ok케쉬백$,DIGITAL_P기타faq문의,DIGITAL,P
주문한 상품이왔는데,DIGITAL_P배송완료,DIGITAL,P
$로봇이군$,DIGITAL_P챗봇여부문의,DIGITAL,P
제일 비싸네,MART_P행사상품,MART,P
오늘 상품 받을수 있나,DIGITAL_P배송일문의,DIGITAL,P
$그럼 이만$,DIGITAL_P대화종료,DIGITAL,P
전기세요금 얼마정도,DIGITAL_P상담원연결,DIGITAL,P
언제 재입고,MART_P재입고문의,MART,P
용량 어떻게 구분되어 있,DIGITAL_P용량문의,DIGITAL,P
품절건인데요,DIGITAL_P기타faq문의,DIGITAL,P
구매한 제품 as,DIGITAL_Pa/s문의,DIGITAL,P
취소물품,DIGITAL_P주문취소,DIGITAL,P
톡매니저 이딧나요,DIGITAL_P상담원연결,DIGITAL,P
Q&A를 작성했는데,DIGITAL_P상담원연결,DIGITAL,P
기존 제품은 가져가요,DIGITAL_P폐가전수거,DIGITAL,P
물건보냈는지 한참되었는데,DIGITAL_P반품문의,DIGITAL,P
주소지관리,DIGITAL_P회원정보문의,DIGITAL,P
시켰는데 몇일걸랴,DIGITAL_P배송문의,DIGITAL,P
전화주시면 감사하겠습니다,DIGITAL_P전화요청,DIGITAL,P
이게 다예요,DIGITAL_P추가추천,DIGITAL,P
오늘상담은해요,DIGITAL_P상담시간,DIGITAL,P
어디로 포인트 들어와있나,DIGITAL_P적립문의,DIGITAL,P
왓슨 기반이니,DIGITAL_P챗봇여부문의,DIGITAL,P
이메일 주스 어떻게 바꾸,DIGITAL_P회원정보문의,DIGITAL,P
사업자등록증,DIGITAL_P기타faq문의,DIGITAL,P
최저가인,MART_P행사상품,MART,P
구매 후 구매확정,DIGITAL_P구매완료,DIGITAL,P
카드등록 다시할려면,DIGITAL_P결제문의,DIGITAL,P
나우배송 지금 주문,DIGITAL_P배송문의,DIGITAL,P
실제 제품 볼 수 있나요,DIGITAL_P실물확인,DIGITAL,P
저게 다에요,DIGITAL_P추가추천,DIGITAL,P
이용가이드 보여줘,DIGITAL_P도움말보기,DIGITAL,P
확인 가능,DIGITAL_P확인,DIGITAL,P
가격차이 있는것들이 있는데,DIGITAL_P가격차이,DIGITAL,P
물건은 왔는데 가져가시지 않아서,DIGITAL_P반품문의,DIGITAL,P
그냥..제가 찾아볼게여,DIGITAL_P대화종료,DIGITAL,P
결제 카드 추가방법,DIGITAL_P결제문의,DIGITAL,P
니가 할울 아는 건 뭐니,DIGITAL_P상담품목,DIGITAL,P
교환문제,DIGITAL_P교환문의,DIGITAL,P
사람인데 기계인척하는거지,DIGITAL_P챗봇여부문의,DIGITAL,P
물건을 받지 못했어요,DIGITAL_P배송문의,DIGITAL,P
가격이랑 브랜드를 알고 싶습니다,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
너를 찾고 있어,DIGITAL_P채팅,DIGITAL,P
$됐어! 흥!$,DIGITAL_P대화종료,DIGITAL,P
웰컴딜 환불,DIGITAL_P쿠폰적용문의,DIGITAL,P
제품 뭐가 있을까요,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
결제창 부탁 드릴게요,DIGITAL_P결제문의,DIGITAL,P
선물 기능,DIGITAL_P기타faq문의,DIGITAL,P
최대 할인율이고,DIGITAL_P할인문의,DIGITAL,P
카드 무이자 할부,DIGITAL_P결제문의,DIGITAL,P
쿠폰 받으려니 인증,DIGITAL_P본인인증문의,DIGITAL,P
$첫 구매고객$,DIGITAL_P쿠폰요청,DIGITAL,P
장바구니도 안열린다구요,DIGITAL_P기타faq문의,DIGITAL,P
매니저좀 불러줘요,DIGITAL_P상담원연결,DIGITAL,P
디지털 장비만 되,DIGITAL_P상담품목,DIGITAL,P
스타일리쉬한거,DIGITAL_P디자인문의,DIGITAL,P
제 아이디가 뭔지,DIGITAL_P회원정보문의,DIGITAL,P
쿠폰이 안보여요,DIGITAL_P쿠폰요청,DIGITAL,P
페이백이요,DIGITAL_P적립문의,DIGITAL,P
상품이 아직미도착이요,DIGITAL_P배송문의,DIGITAL,P
$그냥진행$,DIGITAL_P대화계속,DIGITAL,P
$t멤버쉽$,DIGITAL_P티멤버십관련문의_P기타faq문의,DIGITAL,P
데이터 사용량이 얼마나 되나요,DIGITAL_P기타faq문의,DIGITAL,P
코디상품 구매도 가능,DIGITAL_P기타faq문의,DIGITAL,P
$수수료$,DIGITAL_P결제문의,DIGITAL,P
추가 할인받는방법 있을까요,DIGITAL_P쿠폰요청,DIGITAL,P
디지털말고 다른 상품,DIGITAL_P상담품목,DIGITAL,P
id문제,DIGITAL_P회원정보문의,DIGITAL,P
전화을 하니 통화가 안되네요,DIGITAL_P전화요청,DIGITAL,P
//문의 드린겁니다,DIGITAL_P상담요청,DIGITAL,P
언제 퇴근해?,DIGITAL_P채팅,DIGITAL,P
쿠키 항상 허용,DIGITAL_P기타faq문의,DIGITAL,P
챗봇 뭐래 뭘좋아해,DIGITAL_P채팅,DIGITAL,P
11페이 계좌 삭제,DIGITAL_P결제문의,DIGITAL,P
나 돈줘,DIGITAL_P채팅,DIGITAL,P
점심에도 상담,DIGITAL_P상담시간,DIGITAL,P
찜 기능 뭐야,DIGITAL_P찜기능안내,DIGITAL,P
물품교체,DIGITAL_P교환문의,DIGITAL,P
ok캐쉬백 재인증,DIGITAL_P기타faq문의,DIGITAL,P
주문취소 했는데 쿠폰이 없어졌어요,DIGITAL_P쿠폰적용문의,DIGITAL,P
구매할려할때,DIGITAL_P구매예정,DIGITAL,P
암튼 see you,DIGITAL_P대화종료,DIGITAL,P
염두에 두고 계신 가격대가,DIGITAL_P가격문의,DIGITAL,P
쿠폰교체,DIGITAL_P쿠폰적용문의,DIGITAL,P
선별했는데 사라졌음,DIGITAL_P찜기능안내,DIGITAL,P
문화상품권으로 결제할려고,DIGITAL_P결제문의,DIGITAL,P
리뷰 적립금,DIGITAL_P적립문의,DIGITAL,P
랜탈 문의,DIGITAL_P렌탈문의,DIGITAL,P
모델별 특징은,DIGITAL_P상품문의_P상담원연결,DIGITAL,P
$원하는데요$,DIGITAL_P추천,DIGITAL,P
구매했는데..취소가능,DIGITAL_P주문취소,DIGITAL,P
선물이자꾸취소되요,DIGITAL_P기타faq문의,DIGITAL,P
뭐가있는거죠 그럼,MART_P마트챗봇문의,MART,P
$결재$,DIGITAL_P결제문의,DIGITAL,P
$어떻게 하냐고$,DIGITAL_P기타faq문의,DIGITAL,P
$다른 모델$,DIGITAL_P추가추천,DIGITAL,P
할 수 있는 상담이 뭐야,MART_P마트챗봇문의,MART,P
할인은 또 언제 받,DIGITAL_P할인문의,DIGITAL,P
수취 거부부탁하고,DIGITAL_P배송문의,DIGITAL,P
Sk멤버쉽포인트 어떻게 써요,DIGITAL_P할인문의,DIGITAL,P
구매하려고 하면 로그인한다음,DIGITAL_P본인인증문의,DIGITAL,P
대화가 종료 되나요,DIGITAL_P상담원연결,DIGITAL,P
쿠폰 어떻게 쓰나,DIGITAL_P쿠폰적용문의,DIGITAL,P
톡매니저 연락,DIGITAL_P상담원연결,DIGITAL,P
대화 삭제,DIGITAL_P기타faq문의,DIGITAL,P
$상담제품$,DIGITAL_P상담품목,DIGITAL,P
너무 비싸지 않았음 합니다,MART_P행사상품,MART,P
패션데이가 뭐야,DIGITAL_P행사문의,DIGITAL,P
쿠폰이 왜 하나밖에 다운이 안됐는지,DIGITAL_P기타faq문의,DIGITAL,P
배송시간 지정,DIGITAL_P배송문의,DIGITAL,P
용량 큰 건가,DIGITAL_P용량문의,DIGITAL,P
입고 시켜,DIGITAL_P기타faq문의,DIGITAL,P
착불로 판매자에게,DIGITAL_P환불문의,DIGITAL,P
상품이 오지를안네요,DIGITAL_P배송문의,DIGITAL,P
주문한 상품 찾아줘,DIGITAL_P주문이력확인,DIGITAL,P
가전관련된것만 상담,DIGITAL_P상담품목,DIGITAL,P
상품이 오지않아 취소하고 싶어요,DIGITAL_P주문취소,DIGITAL,P
최신형인가요,DIGITAL_P상품문의,DIGITAL,P
다른건 없나요,DIGITAL_P추가추천,DIGITAL,P
아이디가 이중,DIGITAL_P기타faq문의,DIGITAL,P
취소 하고픈데요,DIGITAL_P주문취소,DIGITAL,P
헌데 취소하려고요,DIGITAL_P주문취소,DIGITAL,P
또 사려고,MART_P지난구매상품보기,MART,P
자주사용하는 물건,MART_P자주구매상품,MART,P
카드정보입력,DIGITAL_P결제문의,DIGITAL,P
사람이신가요,DIGITAL_P챗봇여부문의,DIGITAL,P
$장바구니$,MART_P장바구니보기,MART,P
주문하기 다음단계가 넘어가질 않아,DIGITAL_P기타faq문의,DIGITAL,P
한개가 반납이 안되었다고,DIGITAL_P반품문의,DIGITAL,P
쿠폰번호 알려줘,DIGITAL_P쿠폰요청,DIGITAL,P
입금이 안됐어요,DIGITAL_P환불문의,DIGITAL,P
보상지연받으라는데,DIGITAL_P기타faq문의,DIGITAL,P
11번가도 문의되나요,DIGITAL_P기타faq문의,DIGITAL,P
차이가 뭐야,DIGITAL_P차이점,DIGITAL,P
쿠폰 무제한 쓸수,DIGITAL_P쿠폰적용문의,DIGITAL,P
생채인식 위치어디,DIGITAL_P기타faq문의,DIGITAL,P
나중에 찾을래,DIGITAL_P대화종료,DIGITAL,P
딴상품 찾을래,DIGITAL_P새상담,DIGITAL,P
추천사유문의,DIGITAL_P추천사유문의,DIGITAL,P
$어제 연락주신다더니$,DIGITAL_P전화요청,DIGITAL,P
보상절차를 알려주세요,DIGITAL_P기타faq문의,DIGITAL,P
깎아주세요,DIGITAL_P바로할인가,DIGITAL,P
컴플레인 처리는 어디에 해야하나요,DIGITAL_P상담원연결,DIGITAL,P
판매자 등록을,DIGITAL_P기타faq문의,DIGITAL,P
용량은여,DIGITAL_P용량문의,DIGITAL,P
교환 문의톡,DIGITAL_P교환문의,DIGITAL,P
$구매$,DIGITAL_P추천,DIGITAL,P
쿠폰이 잇는지,DIGITAL_P쿠폰요청,DIGITAL,P
사용어떡해하죠,DIGITAL_P기타faq문의,DIGITAL,P
$로봇말고$,DIGITAL_P상담원연결,DIGITAL,P
발송처리 했습니다,DIGITAL_P반품문의,DIGITAL,P
이벤트 머있니,MART_P이벤트,MART,P
사귈래,DIGITAL_P채팅,DIGITAL,P
취소한거 확인요청,DIGITAL_P주문취소,DIGITAL,P
데이터 안닳고 쇼핑,DIGITAL_P기타faq문의,DIGITAL,P
자주 이용할께요,DIGITAL_P대화종료,DIGITAL,P
